"Kinase"	"InKA_H2228_1"	"InKA_H2228_2"	"InKA_HCC827ER3_1"	"InKA_HCC827ER3_2"	"InKA_K562_1"	"InKA_K562_2"	"InKA_SKMel28_1"	"InKA_SKMel28_2"
"ABL1"	27.1661554144122	29.2232783924049	37.2155881318568	24.1246761636296	272.578429080513	269.026021046292	0	0
"ABL2"	9.48683298050514	10.0995049383621	8.48528137423857	4.89897948556636	128.37445228705	129.16268811077	0	1.73205080756888
"ALK"	48.7749935930288	46.475800154489	0	0	0	0	0	0
"AURKA"	0	0	0	0	1	1	0	0
"AXL"	66.1815684310972	50.7543101617981	204.058815050955	209.52326839757	50.2294734194974	49.5075751779463	39.496835316263	39.5979797464467
"BMX"	0	0	0	0	3.60555127546399	0	0	0
"BTK"	0	0	0	0	52.3067873224881	54.6076917659042	0	0
"CDC42BPB"	0	0	8	8	0	0	0	0
"CDK1"	6.92820323027551	9.79795897113271	13.4164078649987	13.0384048104053	11.6189500386223	22.6274169979695	6.85565460040104	0
"CDK2"	19.3907194296653	20.5669638012031	52.7541467564399	58.9915248150105	61.0245852095694	57.4630315942346	6.85565460040104	10.8627804912002
"CDK3"	32.1558703816271	32.1558703816271	77.1816040258299	87.332697198701	65.2380257212004	61.7251974480439	9.69535971483266	10.8627804912002
"CDK5"	5.29150262212918	5.47722557505166	4.89897948556636	5.09901951359278	2.44948974278318	3.16227766016838	6.32455532033676	6
"CSK"	11.4891252930761	0	26.8700576850888	27.2763633939717	13.6747943311773	13.490737563232	7.48331477354788	6.70820393249937
"CSNK1A1"	0	0	1	1.4142135623731	0	0	0	0
"EGFR"	33.166247903554	35.4118624192515	285.249014021083	315.128545200209	0	0	0	0
"EPHA2"	29.6647939483827	21.2132034355964	87.7496438739212	104.823661451029	0	0	3.46410161513775	4
"EPHA3"	3.46410161513775	0	6.92820323027551	7.48331477354788	0	0	2	1.73205080756888
"EPHA4"	2.44948974278318	0	15.7480157480236	14.9666295470958	0	0	0	0
"EPHA5"	0	0	6.6332495807108	7.48331477354788	0	0	0	0
"EPHB1"	0	0	0	16.1245154965971	0	0	0	0
"EPHB2"	0	0	24.1039415863879	34.4963766213207	0	0	0	0
"EPHB3"	2.23606797749979	4.58257569495584	10.3923048454133	8.36660026534076	0	0	0	0
"EPHB4"	2.44948974278318	6	36.7423461417477	34.2490875790874	1.4142135623731	2.82842712474619	0	0
"ERBB2"	0	13.076696830622	52.8488410468952	56.4358042380898	0	0	0	0
"ERBB3"	0	0	12.8062484748657	12.8062484748657	0	0	0	0
"ERBB4"	0	3.16227766016838	21.3307290077015	21.8174242292714	0	0	0	0
"FER"	4.69041575982343	0	4.89897948556636	5.47722557505166	0	2.82842712474619	3.46410161513775	0
"FGFR1"	10.6770782520313	0	0	0	0	0	0	0
"FGFR4"	0	0	36.2491379207837	0	0	0	0	0
"FGR"	8.77496438739212	8.30662386291807	7.87400787401181	8.66025403784439	6.16441400296898	9.05538513813742	7.07106781186548	6.40312423743285
"FRK"	0	2.82842712474619	36.3318042491699	34.9857113690718	0	0	0	0
"FYN"	26.9814751264641	28.1957443597434	43.4050688284214	38.8844441904472	61.4817045957576	64.8074069840786	16.3095064303001	14.6969384566991
"GSK3A"	24.0416305603426	22.6274169979695	30.8220700148449	25.298221281347	19.7989898732233	21.5638586528478	5.65685424949238	24.0416305603426
"GSK3B"	24.0416305603426	22.6274169979695	30.8220700148449	25.298221281347	19.7989898732233	21.2132034355964	5.65685424949238	24.0416305603426
"HCK"	10.1980390271856	13.4164078649987	5.29150262212918	4.47213595499958	42.7784992724149	43.4741302385683	2.44948974278318	0
"HIPK2"	7.07106781186548	8.48528137423857	7.07106781186548	7.07106781186548	8.48528137423857	8.48528137423857	5.65685424949238	8.48528137423857
"IGF1R"	10.9544511501033	4.47213595499958	0	0	0	0	8.48528137423857	8.48528137423857
"INSR"	28.1424945589406	14.3527000944073	0	0	0	0	13.5646599662505	12.9614813968157
"JAK1"	0	0	7.74596669241483	7.48331477354788	0	0	0	0
"JAK2"	8.48528137423857	10.6770782520313	7.54983443527075	6.78232998312527	17.3205080756888	18.5741756210067	17.0880074906351	11.4891252930761
"LCK"	15.8745078663875	13.4164078649987	16.1245154965971	17.5499287747842	23.2379000772445	22.3606797749979	8.94427190999916	9.48683298050514
"LMTK2"	0	0	2.82842712474619	2.44948974278318	0	0	0	0
"LYN"	38	40.6939798987516	34.4963766213207	36.3318042491699	93.5948716543807	92.951600308978	12.8452325786651	8.06225774829855
"MAPK1"	14.8323969741913	13.4164078649987	16.4924225024706	17.8885438199983	60.2162768692984	51.0294032886923	9.2736184954957	12.9614813968157
"MAPK10"	1.4142135623731	0	4.24264068711928	7.07106781186548	1.4142135623731	1.4142135623731	1.4142135623731	1.4142135623731
"MAPK14"	24.454038521275	21.0237960416286	8.48528137423857	8.94427190999916	10.1980390271856	6.48074069840786	13.4164078649987	12
"MAPK3"	29.3938769133981	26.0768096208106	25.219040425837	33.3166624979154	44.0227214061103	41.641325627314	36.3318042491699	29.3938769133981
"MELK"	0	0	6.32455532033676	4.47213595499958	0	0	0	0
"MERTK"	0	0	7.74596669241483	6.92820323027551	0	0	0	0
"MET"	35.1567916624939	34.6410161513775	467.311459307387	494.896958972269	0	0	0	0
"MST1R"	0	0	50.7543101617981	59.2452529743945	0	0	0	0
"PRKCA"	0	0	9.05538513813742	6.16441400296898	0	0	0	0
"PRKCB"	0	0	0	0	2.23606797749979	2	0	0
"PRKCD"	0	0	0	0	0	2.44948974278318	0	0
"PRKCI"	0	0	5.56776436283002	6	0	0	0	0
"PTK2"	57.2712842531054	44.1927595879687	34.5832329315812	52.5357021462548	4.58257569495584	6	32.5269119345812	24.0416305603426
"SRC"	52.4213696883246	49.9599839871872	46.6047207909242	40.4474968323134	64.8074069840786	62.6099033699941	35.665109000254	32.86335345031
"SYK"	1	0	0	0	7.74596669241483	7.74596669241483	2.23606797749979	0
"TEC"	0	0	0	0	7.41619848709566	12.2474487139159	0	0
"TGFBR2"	1.4142135623731	0	3.16227766016838	2.82842712474619	0	0	0	0
"TNK2"	0	3.3166247903554	0	0	11.8321595661992	10.816653826392	3.46410161513775	0
"TTK"	0	0	10.816653826392	12.369316876853	0	11.3137084989848	0	0
"TYK2"	7.54983443527075	7.74596669241483	8.66025403784439	15.4919333848297	7.34846922834953	6.85565460040104	4.24264068711928	3.87298334620742
"TYRO3"	0	0	3.16227766016838	2.82842712474619	0	0	0	0
"YES1"	25.0998007960223	27.3861278752583	35.6931365951495	29.2403830344269	25.0998007960223	27.2029410174709	17.1464281994822	14.2828568570857
